filename,detected_streaks,proc_time_ms,status
1836.fits,2,63.42,OK
1837.fits,3,58.39,OK
1838.fits,2,67.10,OK
1839.fits,5,61.44,OK
184.fits,1,61.59,OK
1840.fits,5,66.45,OK
1841.fits,9,68.17,OK
1842.fits,10,71.92,OK
1843.fits,11,68.44,OK
1844.fits,7,61.87,OK
1845.fits,4,55.71,OK
1846.fits,5,63.54,OK
1847.fits,6,66.15,OK
1848.fits,4,63.53,OK
1849.fits,9,62.36,OK
185.fits,6,63.51,OK
1850.fits,4,68.31,OK
1851.fits,2,58.64,OK
1852.fits,5,63.91,OK
1853.fits,3,64.06,OK
1854.fits,2,66.32,OK
1855.fits,4,66.50,OK
1856.fits,5,62.20,OK
1857.fits,6,62.29,OK
1858.fits,4,56.37,OK
1859.fits,3,62.87,OK
186.fits,5,66.24,OK
1860.fits,5,63.05,OK
1861.fits,4,57.96,OK
1862.fits,1,56.08,OK
1863.fits,8,62.91,OK
1864.fits,3,70.72,OK
1865.fits,3,58.99,OK
1866.fits,3,62.61,OK
1867.fits,4,64.39,OK
1868.fits,3,63.84,OK
1869.fits,11,81.90,OK
187.fits,4,61.42,OK
1870.fits,5,60.67,OK
1871.fits,7,77.15,OK
1872.fits,12,69.03,OK
1873.fits,5,68.88,OK
1874.fits,5,64.87,OK
1875.fits,16,70.09,OK
1876.fits,1,59.26,OK
1877.fits,2,66.05,OK
1878.fits,7,63.90,OK
1879.fits,5,61.31,OK
188.fits,12,68.97,OK
1880.fits,5,63.38,OK
1881.fits,4,63.81,OK
1882.fits,3,61.80,OK
1883.fits,3,57.35,OK
1884.fits,10,72.80,OK
1885.fits,8,64.82,OK
1886.fits,1,71.15,OK
1887.fits,2,62.07,OK
1888.fits,3,67.66,OK
1889.fits,2,63.49,OK
189.fits,1,63.26,OK
1890.fits,1,65.29,OK
1891.fits,3,59.07,OK
1892.fits,3,60.25,OK
1893.fits,3,61.29,OK
1894.fits,8,62.21,OK
1895.fits,3,57.39,OK
1896.fits,3,66.06,OK
1897.fits,7,64.60,OK
1898.fits,8,66.43,OK
1899.fits,8,72.90,OK
19.fits,7,70.26,OK
190.fits,11,67.31,OK
1900.fits,7,61.64,OK
1901.fits,15,67.28,OK
1902.fits,4,67.24,OK
1903.fits,4,61.66,OK
1904.fits,5,66.56,OK
1905.fits,3,58.97,OK
1906.fits,0,44.18,OK
1907.fits,4,64.95,OK
1908.fits,1,58.69,OK
1909.fits,1,53.31,OK
191.fits,12,65.98,OK
1910.fits,5,66.41,OK
1911.fits,2,61.16,OK
1912.fits,3,61.37,OK
1913.fits,7,78.61,OK
1914.fits,6,60.73,OK
1915.fits,12,61.71,OK
1916.fits,3,65.61,OK
1917.fits,7,76.71,OK
1918.fits,1,60.14,OK
1919.fits,2,64.65,OK
192.fits,1,60.77,OK
1920.fits,1,61.92,OK
1921.fits,8,59.91,OK
1922.fits,5,65.98,OK
1923.fits,8,68.71,OK
1924.fits,2,65.20,OK
1925.fits,4,64.74,OK
1926.fits,4,62.29,OK
1927.fits,3,57.19,OK
1928.fits,5,63.21,OK
1929.fits,6,62.14,OK
193.fits,7,64.35,OK
1930.fits,1,60.86,OK
1931.fits,4,66.76,OK
1932.fits,4,65.36,OK
1933.fits,4,66.98,OK
1934.fits,5,63.05,OK
1935.fits,1,64.34,OK
1936.fits,2,61.95,OK
1937.fits,10,69.02,OK
1938.fits,3,66.15,OK
1939.fits,15,65.87,OK
194.fits,13,66.90,OK
1940.fits,0,57.96,OK
1941.fits,5,65.51,OK
1942.fits,3,70.18,OK
1943.fits,3,69.79,OK
1944.fits,8,69.36,OK
1945.fits,7,63.45,OK
1946.fits,3,63.33,OK
1947.fits,8,68.14,OK
1948.fits,3,68.55,OK
1949.fits,10,67.53,OK
195.fits,7,66.00,OK
1950.fits,3,62.86,OK
1951.fits,5,60.61,OK
1952.fits,5,68.27,OK
1953.fits,4,60.74,OK
1954.fits,14,65.38,OK
1955.fits,6,67.45,OK
1956.fits,15,68.42,OK
1957.fits,1,51.31,OK
1958.fits,6,64.73,OK
1959.fits,7,60.71,OK
196.fits,5,54.76,OK
1960.fits,4,59.66,OK
1961.fits,6,63.33,OK
1962.fits,5,69.27,OK
1963.fits,7,69.16,OK
1964.fits,9,64.39,OK
1965.fits,4,63.96,OK
1966.fits,2,67.91,OK
1967.fits,3,65.34,OK
1968.fits,9,66.82,OK
1969.fits,3,62.63,OK
197.fits,7,79.93,OK
1970.fits,3,63.92,OK
1971.fits,11,66.04,OK
1972.fits,5,63.91,OK
1973.fits,3,58.54,OK
1974.fits,4,64.04,OK
1975.fits,2,58.49,OK
1976.fits,5,66.08,OK
1977.fits,5,63.97,OK
1978.fits,17,70.52,OK
1979.fits,6,61.92,OK
198.fits,5,64.00,OK
1980.fits,5,63.31,OK
1981.fits,4,86.63,OK
1982.fits,3,61.67,OK
1983.fits,2,63.22,OK
1984.fits,3,61.48,OK
1985.fits,3,67.18,OK
1986.fits,3,60.94,OK
1987.fits,7,64.00,OK
1988.fits,2,62.34,OK
1989.fits,6,65.37,OK
199.fits,2,70.93,OK
1990.fits,2,62.54,OK
1991.fits,8,69.91,OK
1992.fits,3,71.37,OK
1993.fits,4,62.88,OK
1994.fits,10,68.86,OK
1995.fits,6,62.55,OK
1996.fits,3,57.95,OK
1997.fits,4,63.28,OK
1998.fits,3,56.22,OK
1999.fits,5,66.93,OK
2.fits,4,57.62,OK
20.fits,8,65.45,OK
200.fits,4,66.04,OK
2000.fits,2,67.83,OK
2001.fits,5,58.83,OK
2002.fits,8,62.43,OK
2003.fits,4,64.98,OK
2004.fits,3,62.98,OK
2005.fits,9,73.76,OK
2006.fits,1,49.22,OK
2007.fits,2,64.94,OK
2008.fits,4,64.34,OK
2009.fits,9,68.68,OK
201.fits,3,60.74,OK
2010.fits,3,60.85,OK
2011.fits,4,59.32,OK
2012.fits,5,61.80,OK
2013.fits,5,61.24,OK
2014.fits,0,48.90,OK
2015.fits,2,57.61,OK
2016.fits,11,63.99,OK
2017.fits,2,61.72,OK
2018.fits,6,66.13,OK
2019.fits,2,63.04,OK
202.fits,7,64.18,OK
2020.fits,2,64.87,OK
2021.fits,3,61.28,OK
2022.fits,2,58.92,OK
2023.fits,8,76.19,OK
2024.fits,4,65.26,OK
2025.fits,1,63.94,OK
2026.fits,4,57.92,OK
2027.fits,2,70.08,OK
2028.fits,3,69.13,OK
2029.fits,1,57.25,OK
203.fits,3,64.38,OK
2030.fits,8,67.84,OK
2031.fits,5,69.09,OK
2032.fits,4,57.29,OK
2033.fits,5,63.81,OK
2034.fits,7,61.94,OK
2035.fits,4,58.44,OK
2036.fits,4,62.24,OK
2037.fits,5,58.29,OK
2038.fits,3,61.84,OK
2039.fits,4,61.78,OK
204.fits,3,64.15,OK
2040.fits,2,60.18,OK
2041.fits,3,65.62,OK
2042.fits,6,66.37,OK
2043.fits,7,60.08,OK
2044.fits,16,64.73,OK
2045.fits,4,61.61,OK
2046.fits,0,52.13,OK
2047.fits,4,67.82,OK
2048.fits,11,66.95,OK
2049.fits,4,60.57,OK
205.fits,5,62.42,OK
2050.fits,3,60.97,OK
2051.fits,5,62.96,OK
2052.fits,6,61.43,OK
2053.fits,4,60.74,OK
2054.fits,3,64.74,OK
2055.fits,3,66.52,OK
2056.fits,2,56.83,OK
2057.fits,18,62.52,OK
2058.fits,5,71.13,OK
2059.fits,3,65.98,OK
206.fits,4,66.08,OK
2060.fits,3,58.56,OK
2061.fits,2,57.34,OK
2062.fits,1,53.61,OK
2063.fits,3,62.84,OK
2064.fits,1,64.27,OK
2065.fits,1,59.93,OK
2066.fits,1,59.26,OK
2067.fits,1,59.05,OK
2068.fits,2,63.99,OK
2069.fits,5,63.80,OK
207.fits,1,63.99,OK
2070.fits,1,59.34,OK
2071.fits,4,66.90,OK
2072.fits,4,62.54,OK
2073.fits,2,58.99,OK
2074.fits,4,59.76,OK
2075.fits,9,72.62,OK
2076.fits,4,64.06,OK
2077.fits,3,62.59,OK
2078.fits,3,63.55,OK
2079.fits,14,67.62,OK
208.fits,6,62.25,OK
2080.fits,5,65.41,OK
2081.fits,4,61.68,OK
2082.fits,6,65.60,OK
2083.fits,3,56.84,OK
2084.fits,4,62.59,OK
2085.fits,5,71.53,OK
2086.fits,6,60.95,OK
2087.fits,2,62.84,OK
2088.fits,6,64.37,OK
2089.fits,9,65.75,OK
209.fits,2,61.39,OK
2090.fits,3,56.37,OK
2091.fits,2,61.48,OK
2092.fits,3,51.95,OK
2093.fits,5,58.63,OK
2094.fits,4,59.34,OK
2095.fits,5,62.31,OK
2096.fits,4,60.57,OK
2097.fits,6,66.25,OK
2098.fits,6,67.42,OK
2099.fits,7,61.54,OK
21.fits,3,63.25,OK
210.fits,6,65.96,OK
2100.fits,11,64.88,OK
2101.fits,7,65.36,OK
2102.fits,7,67.95,OK
2103.fits,14,63.61,OK
2104.fits,7,62.19,OK
2105.fits,3,61.24,OK
2106.fits,4,61.83,OK
2107.fits,5,67.64,OK
2108.fits,5,60.93,OK
2109.fits,4,59.50,OK
211.fits,1,58.43,OK
2110.fits,5,56.13,OK
2111.fits,6,61.09,OK
2112.fits,3,67.38,OK
2113.fits,1,55.04,OK
2114.fits,1,69.41,OK
2115.fits,5,60.53,OK
2116.fits,1,61.13,OK
2117.fits,8,72.70,OK
2118.fits,14,58.07,OK
2119.fits,12,63.48,OK
212.fits,5,61.83,OK
2120.fits,2,60.11,OK
2121.fits,4,63.94,OK
2122.fits,4,72.73,OK
2123.fits,6,66.95,OK
2124.fits,4,66.70,OK
2125.fits,4,62.97,OK
2126.fits,3,69.58,OK
2127.fits,8,61.62,OK
2128.fits,9,75.90,OK
2129.fits,3,66.08,OK
213.fits,6,67.79,OK
2130.fits,5,58.39,OK
2131.fits,8,62.66,OK
2132.fits,1,54.03,OK
2133.fits,11,66.05,OK
2134.fits,6,58.06,OK
2135.fits,1,78.29,OK
2136.fits,3,57.82,OK
2137.fits,1,59.26,OK
2138.fits,3,67.10,OK
2139.fits,5,61.84,OK
214.fits,4,64.50,OK
2140.fits,2,62.89,OK
2141.fits,10,58.23,OK
2142.fits,4,67.03,OK
2143.fits,10,65.28,OK
2144.fits,2,57.70,OK
2145.fits,1,60.46,OK
2146.fits,4,58.48,OK
2147.fits,3,65.80,OK
2148.fits,1,66.26,OK
2149.fits,5,61.55,OK
215.fits,4,65.90,OK
2150.fits,3,63.64,OK
2151.fits,7,67.07,OK
2152.fits,6,67.04,OK
2153.fits,2,69.13,OK
2154.fits,2,63.80,OK
2155.fits,6,66.60,OK
2156.fits,3,60.71,OK
2157.fits,5,61.41,OK
2158.fits,3,60.14,OK
2159.fits,3,58.67,OK
216.fits,4,60.11,OK
2160.fits,5,62.88,OK
2161.fits,4,64.46,OK
2162.fits,3,64.04,OK
2163.fits,8,58.95,OK
2164.fits,7,67.43,OK
2165.fits,4,56.41,OK
2166.fits,13,66.51,OK
2167.fits,4,59.07,OK
2168.fits,7,66.37,OK
2169.fits,5,70.00,OK
217.fits,2,67.69,OK
2170.fits,2,54.95,OK
2171.fits,2,63.82,OK
2172.fits,2,60.28,OK
2173.fits,5,57.12,OK
2174.fits,2,61.12,OK
2175.fits,1,62.10,OK
2176.fits,11,59.86,OK
2177.fits,4,64.66,OK
2178.fits,8,63.67,OK
2179.fits,3,62.29,OK
218.fits,5,60.25,OK
2180.fits,3,65.36,OK
2181.fits,5,60.95,OK
2182.fits,3,65.13,OK
2183.fits,1,67.12,OK
2184.fits,13,68.13,OK
2185.fits,2,57.68,OK
2186.fits,4,73.28,OK
2187.fits,15,62.85,OK
2188.fits,1,60.96,OK
2189.fits,6,62.79,OK
219.fits,9,72.30,OK
2190.fits,2,75.23,OK
2191.fits,3,60.45,OK
2192.fits,4,79.79,OK
2193.fits,5,65.15,OK
2194.fits,5,63.82,OK
2195.fits,3,63.53,OK
2196.fits,6,67.40,OK
2197.fits,2,63.57,OK
2198.fits,4,61.42,OK
2199.fits,4,63.92,OK
22.fits,3,57.66,OK
220.fits,2,68.41,OK
2200.fits,4,56.47,OK
2201.fits,3,66.91,OK
2202.fits,8,62.72,OK
2203.fits,9,69.30,OK
2204.fits,2,67.64,OK
2205.fits,3,66.75,OK
2206.fits,1,61.19,OK
2207.fits,3,62.35,OK
2208.fits,8,61.14,OK
2209.fits,2,65.38,OK
221.fits,1,63.66,OK
2210.fits,3,59.99,OK
2211.fits,3,62.78,OK
2212.fits,3,72.16,OK
2213.fits,2,53.77,OK
2214.fits,3,62.70,OK
2215.fits,12,69.90,OK
2216.fits,1,59.40,OK
2217.fits,5,60.90,OK
2218.fits,0,69.39,OK
2219.fits,6,66.32,OK
222.fits,5,63.78,OK
2220.fits,2,64.54,OK
2221.fits,4,66.09,OK
2222.fits,3,59.27,OK
2223.fits,3,65.95,OK
2224.fits,1,56.10,OK
2225.fits,5,62.53,OK
2226.fits,4,62.26,OK
2227.fits,1,63.43,OK
2228.fits,5,60.29,OK
2229.fits,6,70.01,OK
223.fits,12,72.93,OK
2230.fits,1,65.70,OK
2231.fits,8,72.00,OK
2232.fits,4,66.96,OK
2233.fits,2,60.31,OK
2234.fits,1,55.17,OK
2235.fits,2,66.10,OK
2236.fits,6,59.04,OK
2237.fits,4,66.70,OK
2238.fits,0,64.39,OK
2239.fits,3,66.52,OK
224.fits,4,63.63,OK
2240.fits,7,70.14,OK
2241.fits,10,63.89,OK
2242.fits,7,63.73,OK
2243.fits,3,66.44,OK
2244.fits,1,64.46,OK
2245.fits,4,69.32,OK
2246.fits,0,61.03,OK
2247.fits,4,64.79,OK
2248.fits,11,69.82,OK
2249.fits,2,53.44,OK
225.fits,1,60.44,OK
2250.fits,4,59.19,OK
2251.fits,4,63.94,OK
2252.fits,3,58.17,OK
2253.fits,3,60.96,OK
2254.fits,6,70.45,OK
2255.fits,11,68.85,OK
2256.fits,1,59.77,OK
2257.fits,6,69.68,OK
2258.fits,3,69.49,OK
2259.fits,2,61.24,OK
226.fits,5,55.79,OK
2260.fits,2,56.53,OK
2261.fits,3,56.27,OK
2262.fits,3,65.31,OK
2263.fits,10,68.38,OK
2264.fits,5,58.76,OK
2265.fits,10,59.85,OK
2266.fits,9,66.91,OK
2267.fits,6,63.47,OK
2268.fits,1,59.66,OK
2269.fits,5,64.84,OK
227.fits,5,59.36,OK
2270.fits,6,55.52,OK
2271.fits,3,52.12,OK
2272.fits,3,58.24,OK
2273.fits,2,66.35,OK
2274.fits,5,58.52,OK
2275.fits,6,64.94,OK
2276.fits,5,61.88,OK
2277.fits,3,59.54,OK
2278.fits,4,61.39,OK
2279.fits,1,63.75,OK
228.fits,8,61.56,OK
2280.fits,3,65.25,OK
2281.fits,7,60.96,OK
2282.fits,4,67.13,OK
2283.fits,5,56.19,OK
2284.fits,4,61.72,OK
2285.fits,8,62.34,OK
2286.fits,2,60.72,OK
2287.fits,9,62.68,OK
2288.fits,5,56.28,OK
2289.fits,3,69.06,OK
229.fits,7,61.50,OK
2290.fits,2,63.08,OK
2291.fits,3,58.95,OK
2292.fits,5,62.03,OK
2293.fits,3,62.71,OK
2294.fits,11,73.31,OK
2295.fits,4,55.95,OK
2296.fits,3,60.18,OK
2297.fits,2,68.85,OK
2298.fits,4,59.54,OK
2299.fits,2,60.05,OK
23.fits,7,63.74,OK
230.fits,6,62.43,OK
2300.fits,3,61.09,OK
2301.fits,2,63.59,OK
2302.fits,4,59.34,OK
2303.fits,4,65.45,OK
2304.fits,1,60.21,OK
2305.fits,10,73.86,OK
2306.fits,4,65.41,OK
2307.fits,7,60.39,OK
2308.fits,2,59.13,OK
2309.fits,7,73.37,OK
231.fits,2,71.01,OK
2310.fits,4,64.54,OK
2311.fits,7,58.50,OK
2312.fits,5,60.22,OK
2313.fits,7,57.97,OK
2314.fits,13,62.35,OK
2315.fits,3,64.60,OK
2316.fits,2,62.13,OK
2317.fits,7,64.49,OK
2318.fits,5,67.18,OK
2319.fits,9,64.97,OK
232.fits,2,58.66,OK
2320.fits,6,61.26,OK
2321.fits,3,62.19,OK
2322.fits,3,58.81,OK
2323.fits,3,60.91,OK
2324.fits,7,70.19,OK
2325.fits,4,60.31,OK
2326.fits,2,63.07,OK
2327.fits,7,63.81,OK
2328.fits,2,57.10,OK
2329.fits,2,56.67,OK
233.fits,5,58.97,OK
2330.fits,2,67.46,OK
2331.fits,2,62.81,OK
2332.fits,7,58.92,OK
2333.fits,6,64.86,OK
2334.fits,2,70.10,OK
2335.fits,6,57.16,OK
2336.fits,2,56.69,OK
2337.fits,3,67.66,OK
2338.fits,12,62.65,OK
2339.fits,3,62.49,OK
234.fits,2,65.32,OK
2340.fits,1,66.49,OK
2341.fits,9,77.27,OK
2342.fits,4,65.49,OK
2343.fits,5,68.95,OK
2344.fits,2,63.72,OK
2345.fits,1,66.44,OK
2346.fits,5,63.10,OK
2347.fits,3,64.10,OK
2348.fits,7,64.88,OK
2349.fits,10,65.99,OK
235.fits,5,63.36,OK
2350.fits,5,57.88,OK
2351.fits,7,59.26,OK
2352.fits,2,65.16,OK
2353.fits,7,71.16,OK
2354.fits,8,60.84,OK
2355.fits,2,72.51,OK
2356.fits,3,54.14,OK
2357.fits,3,64.42,OK
2358.fits,0,67.05,OK
2359.fits,1,67.54,OK
236.fits,2,63.40,OK
2360.fits,4,62.88,OK
2361.fits,2,64.96,OK
2362.fits,10,73.18,OK
2363.fits,8,61.50,OK
2364.fits,4,65.63,OK
2365.fits,9,62.36,OK
2366.fits,2,65.90,OK
2367.fits,1,60.85,OK
2368.fits,5,63.04,OK
2369.fits,6,62.82,OK
237.fits,1,59.02,OK
2370.fits,2,57.81,OK
2371.fits,6,62.18,OK
2372.fits,2,59.60,OK
2373.fits,4,61.15,OK
2374.fits,3,58.46,OK
2375.fits,3,62.91,OK
2376.fits,10,64.83,OK
2377.fits,1,65.37,OK
2378.fits,5,71.48,OK
2379.fits,6,66.25,OK
238.fits,3,64.85,OK
2380.fits,5,62.12,OK
2381.fits,3,62.87,OK
2382.fits,5,69.33,OK
2383.fits,3,62.99,OK
2384.fits,2,62.37,OK
2385.fits,0,59.55,OK
2386.fits,4,59.99,OK
2387.fits,3,62.80,OK
239.fits,3,63.63,OK
24.fits,5,57.75,OK
240.fits,1,59.24,OK
241.fits,5,61.66,OK
242.fits,1,62.21,OK
243.fits,13,66.97,OK
244.fits,7,75.26,OK
245.fits,4,64.63,OK
246.fits,1,54.64,OK
247.fits,9,66.21,OK
248.fits,9,62.92,OK
249.fits,5,56.43,OK
25.fits,1,73.05,OK
250.fits,3,64.72,OK
251.fits,8,72.65,OK
252.fits,3,63.20,OK
253.fits,3,58.97,OK
254.fits,7,63.59,OK
255.fits,3,57.14,OK
256.fits,9,67.04,OK
257.fits,10,68.09,OK
258.fits,4,62.80,OK
259.fits,2,80.51,OK
26.fits,3,65.80,OK
260.fits,5,57.13,OK
261.fits,13,74.10,OK
262.fits,5,72.70,OK
263.fits,6,61.17,OK
264.fits,4,60.45,OK
265.fits,3,59.81,OK
266.fits,1,64.06,OK
267.fits,5,62.96,OK
268.fits,2,57.62,OK
269.fits,4,61.33,OK
27.fits,2,62.44,OK
270.fits,0,60.11,OK
271.fits,1,65.75,OK
272.fits,5,61.73,OK
273.fits,1,65.12,OK
274.fits,4,62.13,OK
275.fits,2,65.68,OK
276.fits,5,57.88,OK
277.fits,3,64.19,OK
278.fits,4,62.32,OK
279.fits,5,62.18,OK
28.fits,3,61.25,OK
280.fits,6,60.65,OK
281.fits,1,63.76,OK
282.fits,5,63.53,OK
283.fits,6,61.86,OK
284.fits,1,62.53,OK
285.fits,4,60.64,OK
286.fits,5,59.18,OK
287.fits,3,62.16,OK
288.fits,1,69.48,OK
289.fits,4,60.64,OK
29.fits,9,76.22,OK
290.fits,1,61.11,OK
291.fits,3,67.70,OK
292.fits,7,63.48,OK
293.fits,7,65.96,OK
294.fits,13,70.72,OK
295.fits,3,66.80,OK
296.fits,5,59.22,OK
297.fits,2,62.66,OK
298.fits,1,57.58,OK
299.fits,1,58.65,OK
4.fits,10,67.86,OK
40.fits,5,66.23,OK
400.fits,2,63.49,OK
401.fits,3,57.90,OK
402.fits,4,63.18,OK
403.fits,4,67.42,OK
404.fits,3,63.01,OK
405.fits,1,60.11,OK
406.fits,5,63.09,OK
407.fits,1,66.10,OK
408.fits,2,52.38,OK
409.fits,1,57.72,OK
41.fits,5,61.03,OK
410.fits,3,61.17,OK
411.fits,6,62.90,OK
412.fits,3,65.11,OK
413.fits,8,72.29,OK
414.fits,2,58.17,OK
415.fits,5,62.35,OK
416.fits,6,70.80,OK
417.fits,2,67.17,OK
418.fits,4,61.53,OK
419.fits,5,61.75,OK
42.fits,10,67.08,OK
420.fits,1,57.23,OK
421.fits,1,58.02,OK
422.fits,1,56.76,OK
423.fits,3,57.39,OK
424.fits,13,78.18,OK
425.fits,9,63.10,OK
426.fits,7,63.40,OK
427.fits,14,71.37,OK
428.fits,5,53.73,OK
429.fits,2,68.62,OK
43.fits,2,58.65,OK
430.fits,11,64.56,OK
431.fits,5,66.59,OK
432.fits,2,71.20,OK
433.fits,5,65.07,OK
434.fits,2,70.03,OK
435.fits,6,68.76,OK
436.fits,3,66.05,OK
437.fits,10,64.34,OK
438.fits,4,64.90,OK
439.fits,2,65.86,OK
44.fits,4,61.98,OK
440.fits,2,72.21,OK
441.fits,2,63.23,OK
442.fits,9,63.56,OK
443.fits,2,55.08,OK
444.fits,4,62.92,OK
445.fits,2,62.28,OK
446.fits,7,61.10,OK
447.fits,3,63.02,OK
448.fits,4,59.42,OK
449.fits,6,64.62,OK
45.fits,3,63.70,OK
450.fits,3,54.10,OK
451.fits,1,54.57,OK
452.fits,2,58.80,OK
453.fits,3,59.09,OK
454.fits,2,63.21,OK
455.fits,9,71.78,OK
456.fits,1,58.70,OK
457.fits,10,74.97,OK
458.fits,5,65.83,OK
459.fits,1,55.21,OK
46.fits,2,61.32,OK
460.fits,12,61.46,OK
461.fits,3,68.51,OK
462.fits,1,68.22,OK
463.fits,5,55.92,OK
464.fits,1,61.52,OK
465.fits,12,79.92,OK
466.fits,2,59.17,OK
467.fits,0,74.53,OK
468.fits,1,62.53,OK
469.fits,2,66.95,OK
47.fits,3,61.84,OK
470.fits,3,64.76,OK
471.fits,4,57.68,OK
472.fits,12,65.30,OK
473.fits,1,66.65,OK
474.fits,3,72.35,OK
475.fits,4,63.36,OK
476.fits,2,68.89,OK
477.fits,4,69.25,OK
478.fits,4,58.60,OK
479.fits,6,63.10,OK
48.fits,6,62.24,OK
480.fits,2,58.79,OK
481.fits,2,59.99,OK
482.fits,5,60.69,OK
483.fits,6,61.66,OK
484.fits,6,59.79,OK
485.fits,4,65.13,OK
486.fits,7,62.00,OK
487.fits,4,64.15,OK
488.fits,9,63.64,OK
489.fits,6,62.77,OK
49.fits,4,60.11,OK
490.fits,1,60.27,OK
491.fits,7,76.78,OK
492.fits,5,66.00,OK
493.fits,7,75.52,OK
494.fits,7,71.68,OK
495.fits,2,65.91,OK
496.fits,2,63.73,OK
497.fits,5,60.53,OK
498.fits,3,61.31,OK
499.fits,1,58.84,OK
