filename,detected_streaks,proc_time_ms,status
119.fits,3,61.37,OK
1190.fits,3,67.11,OK
1191.fits,5,60.94,OK
1192.fits,1,56.49,OK
1193.fits,4,60.97,OK
1194.fits,9,62.87,OK
1195.fits,3,66.62,OK
1196.fits,8,68.11,OK
1197.fits,11,69.55,OK
1198.fits,2,59.15,OK
1199.fits,3,61.26,OK
12.fits,8,74.56,OK
120.fits,2,58.09,OK
1200.fits,3,71.53,OK
1201.fits,4,66.85,OK
1202.fits,1,54.99,OK
1203.fits,12,74.45,OK
1204.fits,6,65.37,OK
1205.fits,5,67.09,OK
1206.fits,1,62.05,OK
1207.fits,2,65.36,OK
1208.fits,3,62.53,OK
1209.fits,3,64.79,OK
121.fits,7,64.25,OK
1210.fits,6,63.57,OK
1211.fits,3,60.25,OK
1212.fits,5,64.75,OK
1213.fits,13,72.22,OK
1214.fits,2,66.15,OK
1215.fits,3,71.62,OK
1216.fits,5,60.41,OK
1217.fits,5,64.31,OK
1218.fits,7,66.03,OK
1219.fits,11,67.61,OK
122.fits,4,68.47,OK
1220.fits,4,62.94,OK
1221.fits,3,65.90,OK
1222.fits,1,67.62,OK
1223.fits,2,59.34,OK
1224.fits,2,56.57,OK
1225.fits,6,67.93,OK
1226.fits,2,55.03,OK
1227.fits,5,69.31,OK
1228.fits,3,67.51,OK
1229.fits,5,60.70,OK
123.fits,8,71.35,OK
1230.fits,2,74.30,OK
1231.fits,4,65.60,OK
1232.fits,2,56.43,OK
1233.fits,5,64.53,OK
1234.fits,7,66.29,OK
1235.fits,8,62.80,OK
1236.fits,3,59.49,OK
1237.fits,3,65.06,OK
1238.fits,12,70.92,OK
1239.fits,7,65.25,OK
124.fits,8,67.95,OK
1240.fits,1,67.41,OK
1241.fits,3,64.49,OK
1242.fits,4,58.71,OK
1243.fits,1,60.51,OK
1244.fits,2,66.16,OK
1245.fits,5,63.01,OK
1246.fits,2,67.09,OK
1247.fits,4,60.72,OK
1248.fits,3,71.45,OK
1249.fits,3,65.59,OK
125.fits,2,63.93,OK
1250.fits,4,66.29,OK
1251.fits,3,58.42,OK
1252.fits,2,61.73,OK
1253.fits,3,66.71,OK
1254.fits,3,65.82,OK
1255.fits,3,59.17,OK
1256.fits,4,69.36,OK
1257.fits,1,61.23,OK
1258.fits,4,65.64,OK
1259.fits,2,68.11,OK
126.fits,4,69.42,OK
1260.fits,3,63.19,OK
1261.fits,3,57.84,OK
1262.fits,5,66.48,OK
1263.fits,4,67.00,OK
1264.fits,4,63.22,OK
1265.fits,3,67.11,OK
1266.fits,4,62.07,OK
1267.fits,3,67.16,OK
1268.fits,2,69.78,OK
1269.fits,1,57.49,OK
127.fits,2,62.47,OK
1270.fits,4,67.99,OK
1271.fits,3,56.88,OK
1272.fits,3,62.84,OK
1273.fits,8,62.04,OK
1274.fits,8,62.52,OK
